Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BAT-SMD_MYOUNG_MY-2032-04,1,Battery_Cell,C964837
C1,0805,1,100nF,C49678
C10,0805,1,100nF,C49678
C11,1206,1,22uF,C12891
C12,0805,1,100nF,C49678
C13,0805,1,100nF,C49678
C14,1206,1,22uF,C12891
C15,0805,1,100nF,C49678
C2,0805,1,1uF,C28323
C3,0805,1,100nF,C49678
C4,0805,1,100nF,C49678
C5,0805,1,1uF,C28323
C6,0805,1,100nF,C49678
C7,0805,1,100nF,C49678
C8,CAP-SMD_BD6.3-L6.6-W6.6-LS7.2-FD,1,47uF/35V,C3344
C9,0805,1,1uF,C28323
D1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,C2761795
"D2, D3, D5",SOD-523_L1.2-W0.8-LS1.6-BI,3,LESD5D5.0CT1G,C383211
"D4, D7",D_SMA,2,1N4007,C2909831
D6,0805,1,LED,C84256
J2,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,1,Power,C466970
J3,TerminalBlock_4Ucon_1x04_P3.50mm_Horizontal,1,Output,C98769
"Q1, Q2, Q3, Q4",SOT-23,4,BSN20,C116157
R1,0805,1,10k,C17414
R10,0805,1,10k,C17414
R11,0805,1,2k2,C17520
R12,0805,1,2k2,C17520
R13,0805,1,2k2,C17520
R14,0805,1,2k2,C17520
R15,0805,1,10k,C17414
R16,0805,1,10k,C17414
R17,0805,1,10k,C17414
R18,0805,1,10k,C17414
R2,0805,1,10k,C17414
R3,0805,1,10k,C17414
R4,0805,1,10k,C17414
R5,0805,1,5.1k,C17414
R6,0805,1,5.1k,C17414
R7,0805,1,10k,C17414
R8,1206,1,220R,C17957
R9,0805,1,1k1,C17375
"SW1, SW2",KEY-SMD_4P-L6.0-W6.0-P4.50-LS9.5-BL,2,K2-1102SP-C4SC-04,C127509
U1,TSSOP-8_3x3mm_P0.65mm,1,PCF85263ATT,C2651543
U2,WIRELM-SMD_ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1(N8R2),C2913204
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,SP3485EN,C5279038
U5,SOT-223-3_TabPin2,1,AMS1117-3.3,C369933
USBC1,USB-C-SMD_TYPE-C-USB-17,1,USB3.1C16PFSMT,C167321
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,Crystal,C515342
