Designator,Mid X,Mid Y,Rotation,Layer
BT1,169.0,-114.6,270.0,top
C1,145.8,-76.3,180.0,top
C10,115.1,-103.2,180.0,top
C11,127.0,-110.2,90.0,top
C12,150.5,-105.3,0.0,top
C13,129.6,-110.2,90.0,top
C14,132.9,-95.5,180.0,top
C15,132.9,-93.0,180.0,top
C2,176.6,-84.7,180.0,top
C3,145.8,-78.4,180.0,top
C4,176.6,-86.9,180.0,top
C5,143.0,-75.2,270.0,top
C6,180.2,-95.6,0.0,top
C7,143.5,-119.7,0.0,top
C8,124.6,-100.8,0.0,top
C9,115.1,-101.0,180.0,top
D1,142.7,-125.0,90.0,top
D2,120.4,-79.3,270.0,top
D3,120.4,-81.9,90.0,top
D4,124.4,-92.5,90.0,top
D5,116.1,-87.3,180.0,top
D6,123.9,-83.7,0.0,top
D7,126.2,-86.6,180.0,top
J2,114.9,-96.35,90.0,top
J3,116.4,-118.2,270.0,top
Q1,148.95,-94.275,270.0,top
Q2,145.3,-94.3,270.0,top
Q3,141.6125,-94.275,270.0,top
Q4,144.8,-85.4125,180.0,top
R1,175.0,-93.2,180.0,top
R10,150.8,-118.1,180.0,top
R11,148.933,-91.175,180.0,top
R12,145.3,-91.2,180.0,top
R13,141.6,-91.2,180.0,top
R14,147.9,-85.4125,90.0,top
R15,149.833,-97.475,180.0,top
R16,146.2,-97.5,180.0,top
R17,142.5125,-97.475,180.0,top
R18,141.6,-86.4125,90.0,top
R2,145.8,-80.5,0.0,top
R3,178.5,-82.6,0.0,top
R4,178.5,-80.1,0.0,top
R5,120.2,-85.2,90.0,top
R6,121.3,-76.8,0.0,top
R7,134.7,-118.1,180.0,top
R8,145.6,-107.9,0.0,top
R9,127.4,-83.7,180.0,top
SW1,134.7,-125.0,0.0,top
SW2,150.8,-125.0,0.0,top
U1,179.2,-90.375,90.0,top
U2,161.4,-84.4375,0.0,top
U3,145.7,-102.8,270.0,top
U5,134.4,-102.1,90.0,top
USBC1,115.15,-81.1,270.0,top
Y1,175.8,-95.5,180.0,top
